"","Ile1016","Cys1534"
"s_mean",0.646061248246536,0.618693849994468
"h_mean",0.727913293792,0.1302634225
"s_CI_2.5",0.0958513697813761,0.180518983005683
"s_CI_97.5",0.824577008197148,0.828516240147646
"h_CI_2.5",0.3377368,0.00367505000000004
"h_CI_97.5",0.9850064925,0.482125225
