"MonthYear","RR","SR","SS","n","freqR","CI_95"
"4-2013",18,33,15,66,0.522727272727273,0.0852098880340942
"5-2013",16,25,12,53,0.537735849056604,0.094914538693961
"6-2013",46,60,21,127,0.598425196850394,0.0602875140691111
"7-2013",43,53,24,120,0.579166666666667,0.0624607645364791
"8-2013",20,12,12,44,0.590909090909091,0.102727089885012
"9-2013",0,1,1,2,0.25,0.424352447854375
"10-2013",0,0,0,0,NA,NA
"11-2013",0,0,0,0,NA,NA
"12-2013",0,0,0,0,NA,NA
"1-2014",264,186,19,469,0.761194029850746,0.0272850609868001
"2-2014",396,181,38,615,0.791056910569106,0.0227206831861881
"3-2014",20,22,0,42,0.738095238095238,0.0940252133246224
"4-2014",359,219,42,620,0.755645161290323,0.023917437805723
"5-2014",140,60,34,234,0.726495726495726,0.0403860831490591
"6-2014",354,193,23,570,0.790350877192982,0.0236298051410383
"7-2014",322,202,34,558,0.758064516129032,0.0251262017759761
"8-2014",215,201,41,457,0.690371991247265,0.0299739980790491
"9-2014",106,137,41,284,0.61443661971831,0.0400284099258085
"10-2014",922,740,147,1809,0.71420674405749,0.0147217606169355
"11-2014",109,175,54,338,0.581360946745562,0.0371899436564261
"12-2014",130,153,52,335,0.616417910447761,0.0368201416383526
"1-2015",0,0,0,0,NA,NA
"2-2015",0,0,0,0,NA,NA
"3-2015",64,58,13,135,0.688888888888889,0.0552212890432948
"4-2015",11,10,1,22,0.727272727272727,0.13159599399245
"5-2015",0,0,0,0,NA,NA
"6-2015",0,0,0,0,NA,NA
"7-2015",0,0,0,0,NA,NA
"8-2015",0,0,0,0,NA,NA
"9-2015",2,0,0,2,1,0
"10-2015",0,0,0,0,NA,NA
"11-2015",0,0,0,0,NA,NA
"12-2015",0,0,0,0,NA,NA
"1-2016",2,2,0,4,0.75,0.300062493490939
"2-2016",0,0,1,1,0,0
"3-2016",0,0,0,0,NA,NA
"4-2016",4,2,0,6,0.833333333333333,0.210862426626848
"5-2016",16,16,4,36,0.666666666666667,0.108888888888889
"6-2016",72,88,22,182,0.637362637362637,0.0493895368890948
"7-2016",84,108,30,222,0.621621621621622,0.0451118666776155
"8-2016",0,0,0,0,NA,NA
"9-2016",54,45,12,111,0.689189189189189,0.0608831158485804
"10-2016",48,54,19,121,0.619834710743802,0.0611607166465794
"11-2016",25,28,3,56,0.696428571428571,0.0851561066512555
"12-2016",38,37,7,82,0.689024390243902,0.070845881614155
"1-2017",1,2,3,6,0.333333333333333,0.26672221643639
"2-2017",5,1,0,6,0.916666666666667,0.156379760933535
"3-2017",17,23,4,44,0.647727272727273,0.0998045493219843
"4-2017",0,0,0,0,NA,NA
"5-2017",38,53,7,98,0.658163265306122,0.0664055259564369
"6-2017",8,9,5,22,0.568181818181818,0.146360492240754
"7-2017",0,1,2,3,0.166666666666667,0.29820450353059
"8-2017",0,0,0,0,NA,NA
"9-2017",49,61,13,123,0.646341463414634,0.059746380332265
"10-2017",102,118,19,239,0.673640167364017,0.042034362136203
"11-2017",0,0,0,0,NA,NA
"12-2017",0,0,0,0,NA,NA
