"MonthYear","RR","SR","SS","n","freqR","CI_95"
"1-2000",0,0,1,1,0,0
"2-2000",0,0,0,0,NA,NA
"3-2000",0,0,0,0,NA,NA
"4-2000",0,0,8,8,0,0
"5-2000",0,0,0,0,NA,NA
"6-2000",0,0,0,0,NA,NA
"7-2000",0,0,0,0,NA,NA
"8-2000",0,0,0,0,NA,NA
"9-2000",0,0,636,636,0,0
"10-2000",0,0,154,154,0,0
"11-2000",0,0,93,93,0,0
"12-2000",0,0,433,433,0,0
"1-2001",0,0,427,427,0,0
"2-2001",0,0,393,393,0,0
"3-2001",0,0,97,97,0,0
"4-2001",0,0,0,0,NA,NA
"5-2001",0,0,1,1,0,0
"6-2001",0,0,38,38,0,0
"7-2001",0,0,0,0,NA,NA
"8-2001",0,0,0,0,NA,NA
"9-2001",0,0,8,8,0,0
"10-2001",0,0,4,4,0,0
"11-2001",0,0,1,1,0,0
"12-2001",0,0,0,0,NA,NA
"1-2002",0,0,19,19,0,0
"2-2002",0,0,0,0,NA,NA
"3-2002",0,0,0,0,NA,NA
"4-2002",0,0,1,1,0,0
"5-2002",0,0,2,2,0,0
"6-2002",0,0,1,1,0,0
"7-2002",0,0,3,3,0,0
"8-2002",0,0,2,2,0,0
"9-2002",0,0,6,6,0,0
"10-2002",0,0,10,10,0,0
"11-2002",0,0,26,26,0,0
"12-2002",0,0,1,1,0,0
"1-2003",0,0,7,7,0,0
"2-2003",0,0,50,50,0,0
"3-2003",0,0,65,65,0,0
"4-2003",0,0,15,15,0,0
"5-2003",0,0,2,2,0,0
"6-2003",0,0,3,3,0,0
"7-2003",0,0,17,17,0,0
"8-2003",0,0,46,46,0,0
"9-2003",0,0,8,8,0,0
"10-2003",0,0,29,29,0,0
"11-2003",0,0,38,38,0,0
"12-2003",0,0,53,53,0,0
"1-2004",0,0,50,50,0,0
"2-2004",0,0,45,45,0,0
"3-2004",0,0,8,8,0,0
"4-2004",0,0,5,5,0,0
"5-2004",0,0,43,43,0,0
"6-2004",0,0,38,38,0,0
"7-2004",0,0,15,15,0,0
"8-2004",0,0,0,0,NA,NA
"9-2004",0,0,2,2,0,0
"10-2004",0,0,4,4,0,0
"11-2004",0,0,0,0,NA,NA
"12-2004",0,0,0,0,NA,NA
"1-2005",0,0,5,5,0,0
"2-2005",0,0,2,2,0,0
"3-2005",0,0,1,1,0,0
"4-2005",0,0,150,150,0,0
"5-2005",0,0,10,10,0,0
"6-2005",0,0,24,24,0,0
"7-2005",0,0,13,13,0,0
"8-2005",0,0,2,2,0,0
"9-2005",0,0,32,32,0,0
"10-2005",0,0,20,20,0,0
"11-2005",0,0,16,16,0,0
"12-2005",0,0,13,13,0,0
"1-2006",0,0,76,76,0,0
"2-2006",0,0,12,12,0,0
"3-2006",0,0,16,16,0,0
"4-2006",0,0,26,26,0,0
"5-2006",0,0,13,13,0,0
"6-2006",0,0,13,13,0,0
"7-2006",0,0,1,1,0,0
"8-2006",0,0,18,18,0,0
"9-2006",0,0,8,8,0,0
"10-2006",0,0,6,6,0,0
"11-2006",0,0,577,577,0,0
"12-2006",0,0,34,34,0,0
"1-2007",0,0,33,33,0,0
"2-2007",0,0,4,4,0,0
"3-2007",0,0,7,7,0,0
"4-2007",0,0,19,19,0,0
"5-2007",0,0,1,1,0,0
"6-2007",0,0,11,11,0,0
"7-2007",0,0,38,38,0,0
"8-2007",0,0,10,10,0,0
"9-2007",0,0,6,6,0,0
"10-2007",0,0,5,5,0,0
"11-2007",0,0,10,10,0,0
"12-2007",0,0,9,9,0,0
"1-2008",0,0,38,38,0,0
"2-2008",0,0,67,67,0,0
"3-2008",0,0,23,23,0,0
"4-2008",0,0,8,8,0,0
"5-2008",0,0,6,6,0,0
"6-2008",0,0,29,29,0,0
"7-2008",0,0,16,16,0,0
"8-2008",0,0,31,31,0,0
"9-2008",0,0,10,10,0,0
"10-2008",0,0,20,20,0,0
"11-2008",0,0,9,9,0,0
"12-2008",0,0,55,55,0,0
"1-2009",0,0,0,0,NA,NA
"2-2009",0,0,0,0,NA,NA
"3-2009",0,0,3,3,0,0
"4-2009",0,0,0,0,NA,NA
"5-2009",0,0,0,0,NA,NA
"6-2009",0,0,0,0,NA,NA
"7-2009",0,0,35,35,0,0
"8-2009",0,0,66,66,0,0
"9-2009",0,0,12,12,0,0
"10-2009",0,0,31,31,0,0
"11-2009",0,0,13,13,0,0
"12-2009",0,0,42,42,0,0
"1-2010",0,0,40,40,0,0
"2-2010",0,0,0,0,NA,NA
"3-2010",0,0,17,17,0,0
"4-2010",0,5,11,16,0.15625,0.125805024926968
"5-2010",0,0,2,2,0,0
"6-2010",24,0,0,24,1,0
"7-2010",0,0,4,4,0,0
"8-2010",0,0,0,0,NA,NA
"9-2010",0,5,99,104,0.0240384615384615,0.0208158471411874
"10-2010",0,15,205,220,0.0340909090909091,0.0169557557230944
"11-2010",0,0,19,19,0,0
"12-2010",0,0,2,2,0,0
"1-2011",0,0,0,0,NA,NA
"2-2011",0,0,24,24,0,0
"3-2011",0,0,0,0,NA,NA
"4-2011",1,2,12,15,0.133333333333333,0.121644046603498
"5-2011",2,15,142,159,0.059748427672956,0.0260512031765621
"6-2011",0,2,60,62,0.0161290322580645,0.0221726936597874
"7-2011",0,5,36,41,0.0609756097560976,0.0517923548431333
"8-2011",1,5,7,13,0.269230769230769,0.170499013247685
"9-2011",5,29,30,64,0.3046875,0.0797385664729076
"10-2011",0,3,31,34,0.0441176470588235,0.048810134903374
"11-2011",0,5,11,16,0.15625,0.125805024926968
"12-2011",0,0,0,0,NA,NA
"1-2012",5,37,38,80,0.29375,0.0705771713047144
"2-2012",1,5,8,14,0.25,0.160390149323454
"3-2012",0,1,9,10,0.05,0.0955185845791278
"4-2012",0,1,8,9,0.0555555555555556,0.105820978832378
"5-2012",0,1,11,12,0.0416666666666667,0.0799471758470925
"6-2012",13,13,14,40,0.4875,0.109533085754944
"7-2012",2,5,5,12,0.375,0.193689506685313
"8-2012",7,15,23,45,0.322222222222222,0.0965508771544138
"9-2012",3,14,29,46,0.217391304347826,0.0842860257297223
"10-2012",0,3,20,23,0.0652173913043478,0.0713533189758765
"11-2012",2,5,13,20,0.225,0.129410103933194
"12-2012",0,0,1,1,0,0
"1-2013",0,0,0,0,NA,NA
"2-2013",0,0,0,0,NA,NA
"3-2013",6,5,4,15,0.566666666666667,0.17732514600983
