"MonthYear","RR","SR","SS","n","freqR","CI_95"
"6-2011",64,0,0,64,1,0
"7-2011",44,0,0,44,1,0
"8-2011",13,0,0,13,1,0
"9-2011",69,0,0,69,1,0
"10-2011",34,0,0,34,1,0
"11-2011",16,0,0,16,1,0
"12-2011",0,0,0,0,NA,NA
"1-2012",91,9,3,103,0.927184466019418,0.0354827730893919
"2-2012",24,0,2,26,0.923076923076923,0.0724271957210702
"3-2012",8,2,0,10,0.9,0.131480797076988
"4-2012",8,1,0,9,0.944444444444444,0.105820978832378
"5-2012",17,2,1,20,0.9,0.0929709632089503
"6-2012",48,2,0,50,0.98,0.02744
"7-2012",15,4,0,19,0.894736842105263,0.0975775996703557
"8-2012",46,0,0,46,1,0
"9-2012",42,6,0,48,0.9375,0.0484223766713283
"10-2012",30,5,1,36,0.902777777777778,0.0684325975297148
"11-2012",41,4,2,47,0.914893617021277,0.0564103130783062
"12-2012",3,0,0,3,1,0
"1-2013",0,0,0,0,NA,NA
"2-2013",0,0,0,0,NA,NA
"3-2013",16,0,0,16,1,0
"4-2013",60,0,0,60,1,0
"5-2013",42,0,0,42,1,0
"6-2013",103,0,0,103,1,0
"7-2013",96,0,0,96,1,0
"8-2013",31,0,1,32,0.96875,0.0426281959029174
"9-2013",1,0,0,1,1,0
"10-2013",0,0,0,0,NA,NA
"11-2013",0,0,0,0,NA,NA
"12-2013",1,0,0,1,1,0
"1-2014",376,0,0,376,1,0
"2-2014",462,0,0,462,1,0
"3-2014",16,0,0,16,1,0
"4-2014",701,0,5,706,0.992917847025496,0.00437399249065542
"5-2014",225,0,1,226,0.995575221238938,0.0061188481262119
"6-2014",417,0,1,418,0.997607655502392,0.00331165188580795
"7-2014",566,0,0,566,1,0
"8-2014",470,0,0,470,1,0
"9-2014",284,0,0,284,1,0
"10-2014",1329,0,4,1333,0.996999249812453,0.00207629154544674
"11-2014",515,0,8,523,0.984703632887189,0.00743767415963419
"12-2014",491,0,0,491,1,0
"1-2015",0,0,0,0,NA,NA
"2-2015",0,0,0,0,NA,NA
"3-2015",131,0,0,131,1,0
"4-2015",22,0,0,22,1,0
"5-2015",0,0,0,0,NA,NA
"6-2015",0,0,0,0,NA,NA
"7-2015",0,0,0,0,NA,NA
"8-2015",0,0,0,0,NA,NA
"9-2015",2,0,0,2,1,0
"10-2015",0,0,0,0,NA,NA
"11-2015",0,0,0,0,NA,NA
"12-2015",0,0,0,0,NA,NA
"1-2016",3,0,0,3,1,0
"2-2016",2,0,0,2,1,0
"3-2016",0,0,0,0,NA,NA
"4-2016",7,0,0,7,1,0
"5-2016",36,0,0,36,1,0
"6-2016",183,0,0,183,1,0
"7-2016",224,0,0,224,1,0
"8-2016",0,0,0,0,NA,NA
"9-2016",125,0,0,125,1,0
"10-2016",143,0,0,143,1,0
"11-2016",67,0,0,67,1,0
"12-2016",92,0,0,92,1,0
"1-2017",5,0,1,6,0.833333333333333,0.210862426626848
"2-2017",8,0,0,8,1,0
"3-2017",44,0,0,44,1,0
"4-2017",0,0,0,0,NA,NA
"5-2017",106,0,0,106,1,0
"6-2017",23,0,0,23,1,0
"7-2017",3,0,0,3,1,0
"8-2017",0,0,0,0,NA,NA
"9-2017",130,0,0,130,1,0
"10-2017",235,0,0,235,1,0
"11-2017",0,0,0,0,NA,NA
"12-2017",0,0,0,0,NA,NA
