location_code,project_code
BG489,other
BG490,other
BG491,other
BG492,other
BG493,other
BG494,other
BG495,other
BG496,other
BG497,other
BG498,other
BG498F,other
BG499,other
BG500,other
BG501,other
BG502,other
BG503,other
BG504,other
BG505,other
BG506,other
BG507,other
BG508,other
BG509,other
BG510,other
BG511,other
BG512,other
BG513,other
BG514,other
BG515,other
BG516,other
BG517,other
BG518,other
BG519,other
BG520,other
BG521,other
BG522,other
BG523,other
BG525,other
BG526,other
BG527,other
BG528,other
BG529,other
BG530,other
BG531,other
BG531B,other
BG532,other
BG533,other
BG534,other
BG535,other
BG536,other
BG537,other
BG538,other
BG539,other
BG540,other
BG541,other
BG543,other
BG544,other
BG545,other
BG546,other
BG547,other
BG548,other
BG549,other
BG550,other
BG551,other
BG553,other
BG554,other
BG555,other
BG556,other
BG557,other
BG558,other
BG559,other
BG560,other
BG561,other
BG562,other
BG563,other
BG564,other
BG565,other
BG566,other
BG567,other
BG568,other
BG569,other
BG570,other
BG571,other
BG572,other
BG573,other
BG574,other
BG575,other
BG576,other
BG577,other
BG578,other
BG579,other
BG580,other
BG581,other
BG583,other
BG584,other
BG585,other
BG586,other
BG587,other
BG588,other
BG589,other
BG590,other
BG591,other
BG592,other
BG593,other
BG594,other
BG595,other
BG596,other
BG597,other
BG598,other
BG599,other
BG600,other
BG601,other
BG602,other
BG603,other
BG604,other
BG605,other
BG606,other
BG607,other
BG608,other
BG609,other
BG610,other
BG611,other
BG612,other
BG613,other
BG614,other
BG615,other
BG616,other
BG617,other
BG618,other
BG619,other
BG620,other
BG622,other
BG623,other
BG624,other
BG625,other
BG626,other
BG627,other
BG628,other
BG629,other
BG630,other
BG631,other
BG632,other
BG633,other
BG634,other
BG635,other
BG636,other
BG637,other
BG638,other
BG639,other
BG640,other
BG641,other
BG642,other
BG643,other
BG644,other
BG645,other
BG646,other
BG647,other
BG648,other
BG649,other
BG650,other
BG651,other
BG652,other
BG653,other
BG654,other
BG655,other
BG656,other
BG657,other
BG658,other
BG659,other
BG661,other
BG662,other
BG663,other
BG664,other
BG665,other
BG666,other
BG667,other
BG668,other
BG669,other
BG700,other
BG701,other
BG701B,other
BG701C,other
BG702,other
BG703,other
BG704,other
BG705,other
BG706,other
BG707,other
BG708,other
BG708B,other
BG711,other
BG712,other
BG713,other
BG714,other
BG715,other
BG716,other
BG717,other
BG718,other
BG719,other
BG720,other
BG721,other
BG722,other
BG723,other
BG724,other
BG724B,other
BG725,other
BG725B,other
BG727,other
BG728,other
BG729,other
BG730,other
BG731,other
BG732,other
BG733,other
BG734,other
BG735,other
BG736,other
BG737,other
BG738,other
BG739,other
BG740,other
BG741,other
BG742,other
BG743,other
BG744,other
BG745,other
BG746,other
BG747,other
BG748,other
BG749,other
BG750,other
BG751,other
BG752,other
BG753,other
BG754,other
BG755,other
BG756,other
BG757,other
BG758,other
BG759,other
BG760,other
BG761,other
BG762,other
BG763,other
BG764,other
BG766,other
BG767,other
BG768A,other
BG768B,other
BG769,other
BG771,other
BG772,other
BG773,other
BG774,other
BG775,other
BG776,other
BG777,other
BG778,other
BG779,other
BG780,other
BG781,other
BG782,other
BG783,other
BG784,other
BG785,other
BG786,other
BG788,other
BG789,other
BG789B,other
BG790,other
BG790A,other
BG791,other
BG792,other
BG793,other
BG794,other
BG795,other
BG796,other
BG797,other
BG798,other
BG799,other
BG800,other
BG801,other
BG802,other
BG803,other
BG804,other
